X,Y,Area
713,958,6.5
503,958,0.5
389,958,1.0
344,958,0.5
183,958,1.0
573,958,2.0
299,958,7.0
1206,956,0.5
1059,957,13.0
689,957,0.5
612,957,13.5
546,957,2.5
422,958,2.0
254,957,3.0
246,957,3.0
1117,957,14.0
1076,957,19.0
571,955,1.0
237,957,16.0
1270,956,0.5
751,956,3.5
659,956,11.5
58,956,55.0
584,956,49.0
497,955,2.0
483,957,48.0
279,955,24.0
677,956,61.5
511,955,25.5
468,953,26.5
301,949,0.5
290,952,16.0
260,952,9.5
1163,952,91.5
1128,953,44.0
702,952,84.5
266,953,4.5
170,952,86.5
117,953,33.0
1087,952,22.5
821,953,69.5
798,953,145.0
726,950,30.5
504,950,30.5
239,948,10.5
1054,949,9.0
318,953,134.0
567,949,46.5
491,947,10.0
387,948,34.0
1137,945,1.5
1113,946,13.0
1102,948,48.5
373,946,12.0
333,946,3.0
472,943,1.5
1168,943,18.5
1069,948,89.0
449,949,65.0
739,941,1.5
365,943,34.5
1248,948,161.0
1190,946,177.0
435,944,33.0
191,941,35.5
30,946,96.0
7,939,2.0
1047,948,82.5
456,941,15.0
103,940,18.0
75,938,3.5
51,941,14.0
512,939,2.5
1163,936,1.5
504,939,18.5
396,938,42.5
209,949,281.5
683,938,51.5
382,938,32.0
1124,936,5.5
711,939,39.0
596,940,63.0
289,940,26.0
242,936,19.5
197,934,12.5
1169,932,1.0
586,938,70.0
69,931,1.5
1200,933,35.0
704,936,28.5
1160,929,0.5
505,930,2.0
459,931,8.5
351,930,3.5
41,935,66.0
1265,930,11.0
1251,927,7.0
1220,932,99.0
2,933,44.5
696,927,19.5
435,929,65.5
368,928,29.5
305,931,7.0
189,927,20.0
1245,927,6.0
1124,925,10.5
163,929,40.5
363,924,8.5
1271,926,10.0
349,923,5.0
73,922,10.0
1263,921,1.0
1193,925,58.5
673,919,0.5
395,922,35.0
199,921,8.5
110,923,37.5
228,922,62.5
472,925,61.5
647,919,2.0
216,920,38.0
193,917,4.5
1132,918,22.5
485,916,2.0
64,917,33.0
1205,921,34.5
435,918,76.5
1159,921,40.5
452,924,154.5
203,914,4.5
1230,915,24.0
1173,914,8.0
181,916,65.5
671,914,25.0
1165,911,3.5
1097,925,487.0
1067,911,1.0
658,914,40.5
639,913,30.5
121,914,86.0
464,910,3.5
368,910,4.0
214,911,18.0
16,912,47.0
1207,910,19.0
1186,912,92.0
1277,914,25.5
1259,907,1.0
176,908,15.0
1133,909,13.0
358,906,4.0
236,908,10.5
1249,909,29.0
1164,905,13.0
373,906,11.5
531,907,10.0
192,907,34.5
1218,906,26.0
10,904,15.5
1129,902,10.0
1116,903,37.5
538,903,17.5
207,904,35.5
1210,901,24.5
382,914,238.0
353,899,3.5
182,901,35.0
100,910,345.5
1257,897,1.0
1242,899,23.0
1193,900,60.5
455,900,31.5
84,898,14.5
1227,896,8.5
572,899,42.0
550,899,37.5
385,898,34.0
1105,898,51.0
1092,901,65.5
630,896,1.5
519,896,0.5
679,895,15.5
127,898,93.0
1125,895,18.5
561,897,65.0
174,894,5.5
1237,891,3.0
1206,891,8.0
199,894,28.5
140,891,3.5
25,892,6.0
655,895,99.5
459,889,1.0
400,891,26.0
372,891,46.0
214,892,18.0
127,890,12.5
1127,887,4.5
1119,889,15.5
386,887,1.0
1221,887,58.5
1164,885,8.5
1091,886,10.0
392,884,0.5
186,888,12.0
68,892,123.0
1086,889,41.5
678,887,44.0
476,890,108.0
84,885,7.5
668,887,2.5
639,886,48.5
3,886,60.5
1197,883,8.5
1124,883,7.0
1129,882,8.0
698,881,1.0
1060,882,18.0
524,881,20.0
1087,879,11.0
94,880,26.5
558,883,301.5
1128,874,5.0
1095,876,20.5
1214,873,1.0
457,876,4.5
1108,879,127.0
586,874,22.0
657,877,52.5
9,873,8.5
504,870,6.0
650,869,36.0
1131,868,6.5
1077,870,46.0
38,905,631.5
1137,866,16.0
665,865,11.0
545,871,112.0
1151,863,1.5
1144,864,14.0
1110,866,37.0
580,865,36.5
560,867,42.5
466,863,1.0
24,865,63.5
120,860,13.5
1124,864,28.5
1097,862,58.0
1080,860,6.0
549,858,0.5
488,866,120.0
708,864,32.5
1277,858,9.5
659,857,15.0
717,854,3.5
1250,851,1.0
1150,853,34.5
643,851,5.0
462,854,92.0
444,853,27.0
1246,847,13.0
1189,846,1.0
5,846,5.0
898,847,3.5
751,849,32.5
99,845,4.5
1180,842,0.5
847,848,25.0
812,842,2.0
640,843,0.5
457,843,5.5
756,842,4.0
676,849,109.0
857,839,2.0
99,841,1.0
161,838,3.5
1212,836,2.0
846,836,3.5
660,839,60.0
649,843,78.0
141,835,13.5
735,841,197.5
634,834,20.5
559,832,0.5
833,834,4.0
132,835,28.5
690,856,289.5
116,832,11.5
83,830,2.0
62,830,6.5
643,830,13.0
555,829,2.0
718,831,47.0
13,831,17.0
828,830,22.5
672,828,23.0
899,832,140.0
600,828,11.5
1267,827,25.0
138,824,3.5
1218,822,0.5
127,822,0.5
60,824,5.5
705,820,1.5
612,819,8.0
601,820,5.5
1,817,11.0
658,822,179.5
567,821,23.5
1226,815,6.0
588,819,34.5
735,820,101.0
145,817,47.0
900,815,76.5
655,811,3.5
47,811,8.5
859,816,183.5
1275,817,42.0
154,810,6.0
686,818,84.5
878,827,424.0
644,810,71.5
608,808,21.5
1192,868,3064.0
5,807,42.5
567,808,87.0
24,808,141.5
672,800,0.5
847,799,0.5
570,800,5.0
170,800,5.5
909,800,15.5
839,799,1.5
824,821,191.5
809,799,1.0
682,798,0.5
800,802,17.0
94,802,116.5
169,795,0.5
835,795,2.0
919,792,1.0
914,793,6.0
832,793,2.0
662,794,3.0
610,795,38.0
557,801,54.5
123,793,3.0
866,800,103.0
753,802,155.0
569,793,13.5
894,795,125.0
753,788,7.0
847,786,0.5
121,808,450.5
131,790,35.0
38,791,65.0
855,787,14.5
816,785,3.0
874,789,164.0
32,782,1.0
20,782,9.0
761,781,11.5
141,782,8.0
872,777,1.0
162,779,4.5
773,778,5.5
876,776,1.0
806,778,50.5
610,779,37.0
570,778,40.0
106,777,33.5
44,776,18.5
3,773,7.0
150,771,5.0
891,775,85.0
795,774,63.0
859,769,13.0
779,770,58.5
615,768,1.0
119,771,19.5
882,768,27.0
828,769,14.0
814,765,2.0
30,767,14.0
585,788,316.5
14,762,2.5
822,759,43.5
72,756,51.0
8,753,15.0
85,750,2.0
44,758,215.0
173,750,46.0
55,749,41.0
192,739,12.5
179,741,3.5
33,743,40.5
8,739,5.5
48,743,30.5
153,738,33.0
0,730,5.5
153,729,45.5
26,733,8.5
192,727,22.0
90,726,18.5
123,723,11.0
199,713,6.0
191,712,1.0
81,711,19.0
90,705,2.5
183,708,34.0
170,721,539.0
185,697,0.5
138,690,0.5
170,689,14.0
107,701,248.5
68,695,117.0
33,682,22.0
63,682,17.0
105,682,87.5
53,677,18.5
29,675,6.0
38,673,15.5
60,670,6.0
45,667,6.5
142,665,3.0
50,661,6.0
42,661,9.5
58,656,21.0
1240,655,39.5
32,661,46.5
1278,650,0.5
100,651,15.0
1278,646,0.5
1233,647,1.5
4,648,7.0
53,649,29.5
38,646,7.0
1222,643,7.5
11,662,292.5
65,642,352.5
29,628,26.5
21,627,26.0
53,619,77.5
1251,610,8.5
1274,618,167.5
1259,587,0.5
1258,577,42.0
1270,569,4.0
1269,562,13.0
1255,563,10.5
1184,561,0.5
1278,559,2.5
1225,561,67.0
1273,552,39.5
1278,540,6.0
1203,541,15.0
1235,546,393.5
1266,528,0.5
1268,538,206.0
1251,532,78.0
1275,524,0.5
1203,525,34.0
1219,522,49.5
1230,521,71.0
1237,511,9.0
1221,509,8.5
1230,506,9.5
1041,500,12.5
1176,488,2.0
1044,487,6.5
1024,483,7.0
1259,506,648.0
1200,479,1.5
1080,477,9.5
1258,478,35.5
1155,473,11.5
1251,471,1.0
1067,475,48.0
1090,474,47.5
937,470,2.0
1057,471,22.5
951,470,4.0
956,468,8.0
1278,469,6.0
1166,466,0.5
1031,469,9.5
1082,466,13.5
1044,471,81.5
1069,463,16.5
1193,461,52.0
1108,460,0.5
1018,460,39.0
1181,457,0.5
1037,458,25.5
947,459,21.5
1175,455,1.0
1167,456,18.0
956,458,54.0
1102,453,3.5
1030,453,17.0
1012,452,2.0
905,454,14.5
1077,452,47.5
1272,452,98.5
1246,446,1.0
1162,447,6.5
1055,454,222.5
1039,446,0.5
964,450,55.0
1088,446,1.0
1145,446,15.0
1021,446,66.0
914,445,60.0
936,451,301.0
905,442,9.0
1069,442,58.5
1045,439,4.5
887,439,2.0
1061,437,19.5
1153,437,90.0
894,438,6.5
1006,434,4.5
1174,439,153.0
1033,436,40.5
962,436,86.5
917,433,20.0
980,430,6.0
1165,428,6.5
1042,427,34.5
1153,426,66.0
1140,423,2.5
1206,426,74.5
1185,426,150.5
964,421,0.5
925,427,93.5
1130,420,7.0
1086,419,4.5
1019,430,92.0
951,427,60.5
1041,417,1.5
1035,418,7.0
1215,415,2.0
1165,417,35.0
928,415,3.0
938,428,131.0
1245,411,1.0
1196,410,7.0
1172,408,1.5
1131,408,2.0
1260,406,0.5
1058,414,44.0
1273,402,5.5
1252,403,5.5
1156,408,62.5
1258,400,8.5
1162,401,7.5
1278,400,5.5
1141,407,54.0
948,396,0.5
1247,397,10.5
1047,404,82.5
1191,398,89.5
1028,396,26.5
924,393,2.5
1157,391,0.5
988,391,10.0
905,390,6.0
1239,386,1.5
910,388,8.0
1051,387,6.0
1271,388,46.0
1038,384,9.5
1024,386,41.5
955,388,14.5
932,387,57.0
1064,380,0.5
1032,382,7.0
947,381,17.5
1003,379,2.0
996,377,0.5
1244,379,19.5
896,377,0.5
1044,379,48.5
1255,386,132.5
1196,375,2.5
1182,377,65.5
1013,375,29.5
971,373,6.5
1266,374,62.0
922,376,73.0
1028,371,49.0
1053,370,45.5
1155,368,45.0
1000,370,61.0
952,368,29.5
941,369,45.5
1034,366,2.0
910,372,80.5
1249,364,8.0
979,366,26.0
1014,364,21.0
896,366,92.5
1271,365,57.0
1159,361,3.5
1044,363,32.5
963,362,34.5
992,357,1.0
955,359,19.5
1168,371,194.0
1058,359,2.0
1277,357,20.0
1186,359,118.0
239,357,23.5
887,355,16.5
1047,354,7.5
1028,360,39.0
253,353,3.5
225,352,1.5
1017,355,76.0
901,354,34.5
878,355,27.5
941,355,88.5
1149,353,150.0
1186,347,0.5
234,347,2.0
1013,345,1.0
960,348,44.0
1259,354,189.0
1237,344,19.0
1278,340,2.0
1165,347,108.5
209,346,52.0
946,344,63.0
1050,341,29.5
1019,339,1.5
315,338,1.5
257,338,0.5
902,344,95.5
1180,337,2.5
1255,340,51.0
1190,336,1.5
941,335,5.5
249,334,0.5
923,336,14.5
897,332,1.0
1267,334,39.5
910,338,104.5
892,326,1.5
57,327,22.5
1242,330,106.0
1252,324,21.0
298,323,11.0
327,322,3.0
96,323,40.5
1158,320,2.0
927,349,358.5
915,319,3.5
1219,318,3.5
0,318,0.5
324,317,2.5
8,320,66.5
1153,314,10.0
332,312,4.0
73,311,6.0
1262,311,0.5
319,318,20.5
124,313,32.0
109,310,15.5
1240,311,38.5
70,306,4.5
304,306,5.0
79,306,3.0
1272,313,52.0
1146,303,3.5
53,306,46.0
1269,306,3.5
1157,303,85.0
1141,298,0.5
96,306,84.5
1256,296,0.5
165,297,5.0
5,296,1.0
224,296,1.0
70,295,2.0
333,298,45.5
16,293,2.0
1179,291,3.0
1152,291,12.0
304,294,42.5
37,292,17.0
226,289,6.0
1165,291,59.0
315,302,282.5
165,289,1.5
364,287,2.0
96,286,19.0
1142,285,89.0
1174,283,19.0
117,283,13.0
85,282,51.5
79,278,0.5
165,279,7.0
41,278,12.5
1187,276,0.5
143,276,1.0
321,279,39.0
226,273,1.0
19,273,7.5
1184,272,7.0
368,275,13.5
334,277,20.0
129,272,4.5
103,271,13.5
73,271,4.0
58,281,126.0
114,269,4.0
215,270,3.5
1165,267,2.0
349,270,41.5
228,267,6.0
31,266,2.0
119,264,3.5
91,264,2.5
299,263,4.0
1277,261,6.0
1172,273,156.5
333,261,1.5
211,261,6.0
1161,260,6.5
1150,267,149.5
94,257,3.5
67,258,7.0
238,254,2.5
347,258,62.0
1170,256,55.5
200,253,22.5
272,253,23.5
28,251,22.0
158,246,3.0
1183,245,1.5
195,244,1.0
90,246,23.0
1269,244,13.5
186,251,29.5
131,252,56.5
351,243,11.5
1148,241,2.5
167,260,116.5
1278,239,6.0
144,251,61.0
22,239,2.0
245,237,8.0
39,240,17.0
136,236,3.0
303,245,79.0
89,237,24.5
67,234,1.5
1226,232,1.5
285,240,56.0
1236,231,2.0
369,245,204.5
300,233,2.5
260,232,6.5
99,234,18.5
356,231,19.0
114,242,284.5
172,229,17.0
162,230,52.0
1246,225,6.0
361,224,5.0
1234,223,48.5
136,220,1.5
91,222,11.5
1223,226,52.0
381,222,18.5
1210,224,87.0
194,219,17.0
127,221,28.0
213,216,2.5
223,216,7.5
95,214,2.0
304,220,87.5
39,216,11.5
25,214,5.0
348,210,5.0
211,210,2.0
1237,210,19.0
393,209,6.0
358,211,20.0
